_id,RSN,YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,EVALUATION_COMPLETED_ON,SCORE,RESULTS_OF_SCORE,NO_OF_AREAS_EVALUATED,ENTRANCE_LOBBY,ENTRANCE_DOORS_WINDOWS,SECURITY,STAIRWELLS,LAUNDRY_ROOMS,INTERNAL_GUARDS_HANDRAILS,GARBAGE_CHUTE_ROOMS,GARBAGE_BIN_STORAGE_AREA,ELEVATORS,STORAGE_AREAS_LOCKERS,INTERIOR_WALL_CEILING_FLOOR,INTERIOR_LIGHTING_LEVELS,GRAFFITI,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,BALCONY_GUARDS,WATER_PEN_EXT_BLDG_ELEMENTS,PARKING_AREA,OTHER_FACILITIES,GRID,LATITUDE,LONGITUDE,X,Y
2417783,4156439,2017,NA,1993,SOCIAL HOUSING,05,York South-Weston,33 GABIAN WAY,18,248,2022-12-30,89,Evaluation needs to be conducted in 3 years,19,5,5,5,4,5,5,4,4,4,5,5,4,5,4,5,5,N/A,4,2,5,W0533,43.6931197205,-79.4688639232,307294.354,4839018.662
2417784,4154231,2017,NA,1970,PRIVATE,07,Humber River-Black Creek,2940 JANE ST,13,153,2022-12-30,82,Evaluation needs to be conducted in 2 years,18,5,4,5,4,5,4,4,3,4,N/A,4,3,5,4,4,4,4,4,4,N/A,W0729,43.753728376,-79.5177880102,303352.137,4845751.71
2417785,4154233,2017,NA,1970,PRIVATE,07,Humber River-Black Creek,2970 JANE ST,14,164,2022-12-30,86,Evaluation needs to be conducted in 3 years,18,5,4,5,4,5,4,4,4,4,N/A,4,5,5,4,4,4,4,4,4,N/A,W0729,43.7553825332,-79.5178201808,303349.587,4845935.472
2417786,4156565,2017,NA,1968,PRIVATE,05,York South-Weston,15 HARDING AVE,19,335,2022-12-30,74,Evaluation needs to be conducted in 2 years,20,5,4,5,3,3,3,4,4,4,2,3,5,5,3,3,4,4,4,2,4,W0528,NA,NA,304655.788,4839682.129
2417787,4155297,2017,NA,1960,PRIVATE,03,Etobicoke-Lakeshore,2645 BLOOR ST W,5,42,2022-12-30,91,Evaluation needs to be conducted in 3 years,19,5,5,5,5,4,3,4,5,5,4,5,4,5,5,5,5,5,4,3,N/A,W0327,43.648946892,-79.494356545,305239.348,4834111.89
2417788,4155295,2017,NA,1927,PRIVATE,03,Etobicoke-Lakeshore,2651 BLOOR ST W,4,34,2022-12-30,74,Evaluation needs to be conducted in 2 years,17,3,4,5,3,2,4,N/A,4,N/A,3,3,4,5,4,3,5,4,4,3,N/A,W0327,43.649230274,-79.495336571,305160.274,4834143.367
2417789,4155294,2017,NA,1940,PRIVATE,03,Etobicoke-Lakeshore,2655 BLOOR ST W,5,45,2022-12-30,79,Evaluation needs to be conducted in 2 years,17,4,4,5,4,3,2,N/A,4,N/A,4,3,5,5,4,5,4,4,4,3,N/A,W0327,43.6494614357,-79.495683937,305101.599,4834184.139
2417790,4153885,2017,NA,1955,PRIVATE,12,Toronto-St. Paul's,567 AVENUE RD,11,63,2022-12-30,91,Evaluation needs to be conducted in 3 years,18,4,5,5,5,4,5,N/A,5,5,5,4,5,5,4,4,5,5,4,3,N/A,S1232,43.688402926,-79.401606294,312716.449,4838499.822
2417791,4155235,2017,NA,1958,PRIVATE,03,Etobicoke-Lakeshore,169 BERRY RD,4,25,2022-12-30,81,Evaluation needs to be conducted in 2 years,17,4,4,5,4,4,4,N/A,4,N/A,3,5,5,4,3,4,4,5,4,3,N/A,W0329,43.6371235205,-79.4874115114,305800.066,4832797.477
2417792,4155234,2017,NA,1947,PRIVATE,03,Etobicoke-Lakeshore,3 NEWHOLM RD,4,25,2022-12-30,79,Evaluation needs to be conducted in 2 years,17,4,5,5,4,4,4,N/A,3,N/A,4,4,3,5,4,4,4,4,3,3,N/A,W0329,43.6360787547,-79.4876301384,305782.438,4832681.407
2417793,4155477,2017,NA,1958,PRIVATE,03,Etobicoke-Lakeshore,2355 LAKE SHORE BLVD W,4,86,2022-12-30,69,Evaluation needs to be conducted in 2 years,17,4,4,4,2,2,2,N/A,3,4,N/A,3,4,3,3,4,4,5,4,4,N/A,W0336,43.616065741,-79.4876962773,305777.4,4830458.074
2417794,4281915,2017,NA,1952,PRIVATE,02,Etobicoke Centre,6 BEXHILL CRT,4,13,2022-12-29,84,Evaluation needs to be conducted in 2 years,15,4,5,5,4,3,2,N/A,4,N/A,4,4,5,5,4,5,5,N/A,4,N/A,N/A,W0229,43.662044955,-79.521338721,303063.01,4835567.277
2417795,4153569,2017,NA,1988,SOCIAL HOUSING,13,Toronto Centre,223 SHERBOURNE ST,6,60,2022-12-29,54,Evaluation needs to be conducted in 1 year,17,2,3,5,1,2,3,2,3,3,N/A,1,2,3,3,2,4,N/A,4,N/A,3,S1329,43.6582200015,-79.3706451728,315217.87,4835149.078
2417796,4155237,2017,NA,1958,PRIVATE,03,Etobicoke-Lakeshore,8 NEWHOLM RD,4,26,2022-12-29,76,Evaluation needs to be conducted in 2 years,17,4,4,3,3,3,3,N/A,3,N/A,3,4,5,5,3,5,5,5,3,4,N/A,W0329,43.6354822227,-79.4882224103,305734.649,4832615.13
2417797,4152901,2017,NA,1957,PRIVATE,04,Parkdale-High Park,9 MORNINGSIDE AVE,4,36,2022-12-29,75,Evaluation needs to be conducted in 2 years,15,3,4,4,3,4,2,N/A,4,4,N/A,3,4,5,4,4,4,N/A,4,N/A,N/A,S0430,43.645605233,-79.473469677,306924.468,4833740.943
2417798,4281929,2017,NA,1952,PRIVATE,02,Etobicoke Centre,7 BEXHILL CRT,4,13,2022-12-29,83,Evaluation needs to be conducted in 2 years,15,4,4,5,4,4,2,N/A,4,N/A,4,4,4,5,4,5,5,N/A,4,N/A,N/A,W0229,43.661751009,-79.521325389,303064.075,4835534.621
2417799,4152898,2020,NA,1958,PRIVATE,04,Parkdale-High Park,93 COE HILL DR,4,33,2022-12-29,80,Evaluation needs to be conducted in 2 years,18,3,4,5,3,3,4,N/A,4,4,5,4,4,5,4,4,4,4,4,4,N/A,S0430,43.6414422476,-79.4724449481,307007.546,4833277.515
2417800,4156225,2017,NA,1950,PRIVATE,02,Etobicoke Centre,4754 DUNDAS ST W,4,14,2022-12-29,86,Evaluation needs to be conducted in 3 years,14,5,4,5,4,4,2,N/A,4,N/A,N/A,4,5,5,4,5,5,N/A,4,N/A,N/A,W0229,43.652203577,-79.525983776,302683.101,4834465.154
2417801,4156289,2017,NA,1950,PRIVATE,02,Etobicoke Centre,4752 DUNDAS ST W,4,14,2022-12-29,86,Evaluation needs to be conducted in 3 years,14,5,4,5,4,4,2,N/A,4,N/A,N/A,4,5,5,4,5,5,N/A,4,N/A,N/A,W0229,43.652394933,-79.525845839,302688.053,4834472.61
2417802,4156523,2017,NA,1950,PRIVATE,02,Etobicoke Centre,4750 DUNDAS ST W,4,14,2022-12-29,86,Evaluation needs to be conducted in 3 years,14,5,4,5,4,4,2,N/A,4,N/A,N/A,4,5,5,4,5,5,N/A,4,N/A,N/A,W0229,43.652601481,-79.525645179,302689.552,4834490.961
2417803,4153574,2017,NA,1991,SOCIAL HOUSING,13,Toronto Centre,330 DUNDAS ST E,4,29,2022-12-29,60,Evaluation needs to be conducted in 1 year,15,3,3,5,3,3,3,N/A,4,N/A,N/A,3,3,1,2,2,2,N/A,4,N/A,4,S1329,43.6587482686,-79.3702105377,315252.836,4835207.824
2417804,4155410,2017,NA,1962,PRIVATE,02,Etobicoke Centre,416 THE WESTWAY,9,103,2022-12-29,69,Evaluation needs to be conducted in 2 years,18,3,3,4,3,4,4,N/A,2,4,5,2,4,5,3,4,3,3,3,3,N/A,W0221,43.6840527547,-79.565694704,299487.999,4838013.037
2417805,4155482,2017,NA,1951,PRIVATE,03,Etobicoke-Lakeshore,51 STANLEY AVE,3,12,2022-12-29,86,Evaluation needs to be conducted in 3 years,16,4,4,5,5,3,5,N/A,5,N/A,4,5,5,3,4,4,4,N/A,5,4,N/A,W0336,43.6160393846,-79.4896739143,305617.776,4830455.127
2417806,4155375,2017,NA,1965,PRIVATE,02,Etobicoke Centre,287 MARKLAND DR,10,118,2022-12-29,80,Evaluation needs to be conducted in 2 years,19,3,4,5,4,4,4,3,4,4,5,3,4,5,4,4,3,5,4,4,N/A,W0233,43.6275335945,-79.5780494311,298485.949,4831734.901
2417807,4155228,2018,NA,1962,PRIVATE,03,Etobicoke-Lakeshore,9 KINSDALE BLVD,4,23,2022-12-29,86,Evaluation needs to be conducted in 3 years,16,4,4,5,5,5,4,N/A,4,N/A,4,4,5,5,3,4,5,N/A,4,4,N/A,W0329,43.6352649375,-79.4919665857,305432.484,4832590.959
2417808,4820405,2022,NA,1950,PRIVATE,03,Etobicoke-Lakeshore,2513 LAKE SHORE BLVD W,3,11,2022-12-29,81,Evaluation needs to be conducted in 2 years,15,4,4,4,4,3,4,N/A,4,N/A,4,4,5,5,4,4,4,N/A,4,N/A,N/A,W0336,43.6117781476,-79.4895548881,305627.437,4829981.725
2417809,4155302,2017,NA,1974,PRIVATE,03,Etobicoke-Lakeshore,52 MABELLE AVE,22,310,2022-12-29,77,Evaluation needs to be conducted in 2 years,19,5,4,5,5,4,4,3,3,4,4,3,4,5,4,3,4,4,3,2,N/A,W0321,43.6464029439,-79.5294506955,302408.377,4833828.787
2417810,4155305,2017,NA,1979,TCHC,03,Etobicoke-Lakeshore,41 MABELLE AVE,19,350,2022-12-29,91,Evaluation needs to be conducted in 3 years,19,5,5,5,4,5,5,4,4,5,N/A,4,5,5,4,5,5,4,4,3,5,W0321,43.6448379761,-79.5277127601,302548.527,4833654.887
2417811,4152905,2017,NA,1993,SOCIAL HOUSING,04,Parkdale-High Park,93 LAVINIA AVE,5,68,2022-12-29,91,Evaluation needs to be conducted in 3 years,19,5,5,5,5,4,5,5,4,4,N/A,4,5,5,4,5,4,4,4,4,5,S0430,43.6473083382,-79.4777129608,306582.355,4833929.1
2417812,4290959,2018,NA,1962,PRIVATE,03,Etobicoke-Lakeshore,25 ELIZABETH ST,3,29,2022-12-29,81,Evaluation needs to be conducted in 2 years,16,4,4,5,4,4,4,N/A,3,N/A,4,4,4,5,4,4,4,4,4,N/A,N/A,W0336,43.6135850358,-79.4949390042,305192.817,4830182.433
2417813,4152933,2017,NA,1973,PRIVATE,04,Parkdale-High Park,299 GLENLAKE AVE,30,233,2022-12-29,81,Evaluation needs to be conducted in 2 years,19,5,4,5,4,5,5,3,3,4,4,4,4,5,4,5,4,2,4,3,N/A,S0428,43.656888484,-79.465364295,307575.602,4834997.723
2417814,4155212,2017,NA,1949,PRIVATE,03,Etobicoke-Lakeshore,2692-2694 BLOOR ST W,4,40,2022-12-29,79,Evaluation needs to be conducted in 2 years,15,4,4,5,4,3,3,N/A,4,N/A,N/A,4,5,5,4,4,4,N/A,3,3,N/A,W0322,43.6502825734,-79.4978680746,304956.297,4834259.305
2417815,4155211,2017,NA,1949,PRIVATE,03,Etobicoke-Lakeshore,2690 BLOOR ST W,4,18,2022-12-29,81,Evaluation needs to be conducted in 2 years,16,4,4,5,4,4,3,N/A,4,N/A,4,4,5,5,4,4,4,N/A,3,4,N/A,W0322,43.6503326449,-79.4973659893,304996.803,4834264.87
2417816,4155210,2017,NA,1949,PRIVATE,03,Etobicoke-Lakeshore,2688 BLOOR ST W,4,21,2022-12-29,83,Evaluation needs to be conducted in 2 years,15,4,4,5,4,4,3,N/A,4,N/A,N/A,4,5,5,4,4,5,N/A,3,4,N/A,W0322,43.6503142619,-79.4971169059,305016.898,4834262.829
2417817,4152903,2017,NA,1940,PRIVATE,04,Parkdale-High Park,2555 BLOOR ST W,4,34,2022-12-29,82,Evaluation needs to be conducted in 2 years,17,4,4,5,5,3,4,N/A,5,N/A,4,4,4,5,4,5,3,3,4,4,N/A,S0430,43.6476402456,-79.4906914801,305535.289,4833965.806
2417818,4155256,2017,NA,1962,PRIVATE,03,Etobicoke-Lakeshore,3 HILL HEIGHTS RD,4,38,2022-12-29,74,Evaluation needs to be conducted in 2 years,17,3,4,5,3,3,4,N/A,4,N/A,2,3,4,5,3,4,4,5,4,3,N/A,W0327,43.6382045659,-79.4931680835,305335.532,4832917.528
2417819,4152941,2017,NA,1958,PRIVATE,04,Parkdale-High Park,205 KEELE ST,4,42,2022-12-29,71,Evaluation needs to be conducted in 2 years,15,5,4,5,3,3,2,N/A,3,N/A,N/A,4,4,5,3,3,3,N/A,3,3,N/A,S0429,43.6597146756,-79.4617878892,307866.434,4835307.806
2417820,4155221,2017,NA,1970,PRIVATE,03,Etobicoke-Lakeshore,620 EVANS AVE,3,25,2022-12-29,71,Evaluation needs to be conducted in 2 years,17,4,2,5,4,3,3,N/A,4,N/A,4,3,4,5,3,4,4,3,3,2,N/A,W0330,43.610802275,-79.550398922,300715.866,4829875.377
2417821,4152911,2017,NA,1960,PRIVATE,04,Parkdale-High Park,111 RUNNYMEDE RD,4,16,2022-12-29,80,Evaluation needs to be conducted in 2 years,15,4,4,4,4,3,2,N/A,4,N/A,5,4,4,5,4,4,5,N/A,4,N/A,N/A,S0430,43.6505719581,-79.4757413114,306741.319,4834291.715
2417822,4155226,2017,NA,1947,PRIVATE,03,Etobicoke-Lakeshore,285 PARK LAWN RD,4,29,2022-12-29,73,Evaluation needs to be conducted in 2 years,17,3,4,4,3,4,3,N/A,3,N/A,3,3,5,5,4,3,3,5,3,4,N/A,W0329,43.6345619465,-79.4922664925,305408.295,4832512.859
2417823,4155485,2017,NA,1957,PRIVATE,03,Etobicoke-Lakeshore,12 ALBERT AVE,3,12,2022-12-28,76,Evaluation needs to be conducted in 2 years,16,4,4,4,4,2,3,N/A,4,N/A,4,4,4,5,4,4,4,N/A,3,4,N/A,W0336,43.6158886447,-79.4889237637,305678.326,4830438.387
2417824,4848750,2021,NA,1954,PRIVATE,19,Beaches-East York,996 O'CONNOR DR,3,18,2022-12-28,71,Evaluation needs to be conducted in 2 years,16,3,3,4,4,3,4,N/A,4,N/A,4,3,3,5,3,4,3,N/A,4,3,N/A,S1921,43.7091752019,-79.3105723901,320050.275,4840819.291
2417825,4269318,2017,NA,1958,PRIVATE,20,Scarborough Southwest,998 DANFORTH RD,3,21,2022-12-28,71,Evaluation needs to be conducted in 2 years,16,3,3,4,4,4,4,N/A,4,N/A,4,3,3,5,3,4,3,N/A,4,2,N/A,E2024,43.7352342615,-79.2476716721,325110.51,4843727.705
2417826,4155489,2017,NA,1952,PRIVATE,03,Etobicoke-Lakeshore,2561 LAKE SHORE BLVD W,4,14,2022-12-28,81,Evaluation needs to be conducted in 2 years,14,4,4,5,4,N/A,3,N/A,4,N/A,N/A,4,5,5,4,5,3,N/A,4,3,N/A,W0336,43.6088644692,-79.4900435258,305588.026,4829658.026
2417827,4155285,2017,NA,1950,PRIVATE,03,Etobicoke-Lakeshore,6 KINGS POINT DR,3,16,2022-12-28,68,Evaluation needs to be conducted in 2 years,17,3,3,4,3,3,4,N/A,4,N/A,4,2,4,5,2,4,2,4,3,4,N/A,W0327,43.6396095695,-79.4936460031,305296.993,4833073.615
2417828,4155308,2017,NA,1959,PRIVATE,03,Etobicoke-Lakeshore,24 BURNHAMTHORPE RD,5,42,2022-12-28,69,Evaluation needs to be conducted in 2 years,18,4,3,5,3,3,4,N/A,4,4,3,2,4,3,3,3,3,4,3,4,N/A,W0321,43.648421735,-79.530760922,302302.494,4834054.061
2417829,4155309,2017,NA,1959,PRIVATE,03,Etobicoke-Lakeshore,22 BURNHAMTHORPE RD,5,42,2022-12-28,73,Evaluation needs to be conducted in 2 years,18,3,3,5,3,4,4,N/A,3,4,4,2,4,5,3,4,3,4,3,5,N/A,W0321,43.648227444,-79.530348478,302335.758,4834032.463
2417830,4155230,2018,NA,1959,PRIVATE,03,Etobicoke-Lakeshore,65 CLOVERHILL RD,4,24,2022-12-28,75,Evaluation needs to be conducted in 2 years,17,4,4,5,4,3,4,N/A,4,N/A,3,3,5,5,3,4,4,3,3,3,N/A,W0329,43.6354908958,-79.4906112543,305541.855,4832616.072
2417831,4155278,2017,NA,1950,PRIVATE,03,Etobicoke-Lakeshore,158 BERRY RD,4,30,2022-12-28,74,Evaluation needs to be conducted in 2 years,17,4,4,5,3,3,2,N/A,4,N/A,3,3,4,5,3,4,5,3,4,4,N/A,W0327,43.6372671432,-79.489657597,305618.818,4832813.412
2417832,4152620,2017,NA,1956,PRIVATE,20,Scarborough Southwest,68 HARRIS PARK DR,3,11,2022-12-28,78,Evaluation needs to be conducted in 2 years,17,4,4,5,4,4,4,N/A,4,N/A,2,3,4,5,3,4,4,N/A,4,4,4,E2021,43.722488216,-79.2987114556,321002.536,4842300.513
2417833,4155490,2017,NA,1952,PRIVATE,03,Etobicoke-Lakeshore,2559 LAKE SHORE BLVD W,4,26,2022-12-28,81,Evaluation needs to be conducted in 2 years,15,4,4,5,4,3,3,N/A,3,N/A,N/A,4,5,5,4,5,4,N/A,4,4,N/A,W0336,43.6090936183,-79.4886161506,305607.776,4829677.695
2417834,4285401,2018,NA,1952,PRIVATE,20,Scarborough Southwest,6 FOLCROFT AVE,3,13,2022-12-28,75,Evaluation needs to be conducted in 2 years,16,3,4,4,3,3,4,N/A,4,N/A,3,4,4,5,3,4,3,N/A,5,4,N/A,E2035,43.700957687,-79.251492552,324829.314,4839934.355
2417835,4155272,2017,NA,1955,PRIVATE,03,Etobicoke-Lakeshore,34 RIVERWOOD PKWY,4,35,2022-12-28,83,Evaluation needs to be conducted in 2 years,16,5,4,5,4,4,4,N/A,4,N/A,N/A,4,5,4,3,5,3,5,3,4,N/A,W0327,43.6397937003,-79.4903246449,305564.983,4833094.093
2417836,4155492,2017,NA,1952,PRIVATE,03,Etobicoke-Lakeshore,2555 LAKE SHORE BLVD W,4,26,2022-12-28,76,Evaluation needs to be conducted in 2 years,15,4,4,5,4,3,2,N/A,4,N/A,N/A,4,5,5,3,4,4,N/A,3,3,N/A,W0336,43.6090432374,-79.4898363283,305704.944,4829683.294
2417837,4155484,2017,NA,1950,PRIVATE,03,Etobicoke-Lakeshore,16 ALBERT AVE,3,18,2022-12-28,80,Evaluation needs to be conducted in 2 years,15,4,3,5,4,3,4,N/A,4,N/A,N/A,5,4,4,5,3,3,N/A,5,4,N/A,W0336,43.6159770796,-79.4891131322,305663.04,4830448.21
